99	 Kullanıcı :00080 : 	 İşlem Tipi 0	25.05.2022 00:00:00	16:49:44
100	 Kullanıcı :00233 : 	 İşlem Tipi 0	25.05.2022 00:00:00	16:49:48
101	 Kullanıcı :00145 : 	 İşlem Tipi 0	25.05.2022 00:00:00	16:49:54
102	 Kullanıcı :00401 : 	 İşlem Tipi 0	25.05.2022 00:00:00	16:49:58
103	 Kullanıcı :00289 : 	 İşlem Tipi 0	25.05.2022 00:00:00	16:50:02
104	 Kullanıcı :00394 : 	 İşlem Tipi 0	25.05.2022 00:00:00	16:50:05
105	 Kullanıcı :00144 : 	 İşlem Tipi 0	25.05.2022 00:00:00	16:50:07
106	 Kullanıcı :00382 : 	 İşlem Tipi 0	25.05.2022 00:00:00	16:50:09
107	 Kullanıcı :00002 : 	 İşlem Tipi 0	25.05.2022 00:00:00	16:50:11
108	 Kullanıcı :00207 : 	 İşlem Tipi 0	25.05.2022 00:00:00	16:50:13
109	 Kullanıcı :00317 : 	 İşlem Tipi 0	25.05.2022 00:00:00	16:50:17
110	 Kullanıcı :00200 : 	 İşlem Tipi 0	25.05.2022 00:00:00	16:50:20
111	 Kullanıcı :00151 : 	 İşlem Tipi 0	25.05.2022 00:00:00	16:50:25
112	 Kullanıcı :00155 : 	 İşlem Tipi 0	25.05.2022 00:00:00	16:50:28
113	 Kullanıcı :00155 : 	 İşlem Tipi 0	25.05.2022 00:00:00	16:50:34
114	 Kullanıcı :00163 : 	 İşlem Tipi 0	25.05.2022 00:00:00	16:50:36
115	 Kullanıcı :00384 : 	 İşlem Tipi 0	25.05.2022 00:00:00	16:50:43
116	 Kullanıcı :00177 : 	 İşlem Tipi 0	25.05.2022 00:00:00	16:50:53
117	 Kullanıcı :00183 : 	 İşlem Tipi 0	25.05.2022 00:00:00	16:50:56
118	 Kullanıcı :00103 : 	 İşlem Tipi 0	25.05.2022 00:00:00	16:51:00
119	 Kullanıcı :00223 : 	 İşlem Tipi 0	25.05.2022 00:00:00	16:51:06
120	 Kullanıcı :00172 : 	 İşlem Tipi 0	25.05.2022 00:00:00	16:51:10
121	 Kullanıcı :00076 : 	 İşlem Tipi 0	25.05.2022 00:00:00	16:51:26
122	 Kullanıcı :00197 : 	 İşlem Tipi 0	25.05.2022 00:00:00	16:51:42
123	 Kullanıcı :00203 : 	 İşlem Tipi 0	25.05.2022 00:00:00	16:51:43
