97	Terminal :	10.80.15.220 	 Kullanıcı :00168 : 	 İşlem Tipi 0	25.05.2022 00:00:00	16:49:34
98	Terminal :	10.80.15.220 	 Kullanıcı :00170 : 	 İşlem Tipi 0	25.05.2022 00:00:00	16:49:38
99	Terminal :	10.80.15.220 	 Kullanıcı :00028 : 	 İşlem Tipi 0	25.05.2022 00:00:00	16:49:41
100	Terminal :	10.80.15.220 	 Kullanıcı :00080 : 	 İşlem Tipi 0	25.05.2022 00:00:00	16:49:44
101	Terminal :	10.80.15.220 	 Kullanıcı :00233 : 	 İşlem Tipi 0	25.05.2022 00:00:00	16:49:48
102	Terminal :	10.80.15.220 	 Kullanıcı :00145 : 	 İşlem Tipi 0	25.05.2022 00:00:00	16:49:54
103	Terminal :	10.80.15.220 	 Kullanıcı :00401 : 	 İşlem Tipi 0	25.05.2022 00:00:00	16:49:58
104	Terminal :	10.80.15.220 	 Kullanıcı :00289 : 	 İşlem Tipi 0	25.05.2022 00:00:00	16:50:02
105	Terminal :	10.80.15.220 	 Kullanıcı :00394 : 	 İşlem Tipi 0	25.05.2022 00:00:00	16:50:05
106	Terminal :	10.80.15.220 	 Kullanıcı :00144 : 	 İşlem Tipi 0	25.05.2022 00:00:00	16:50:07
107	Terminal :	10.80.15.220 	 Kullanıcı :00382 : 	 İşlem Tipi 0	25.05.2022 00:00:00	16:50:09
108	Terminal :	10.80.15.220 	 Kullanıcı :00002 : 	 İşlem Tipi 0	25.05.2022 00:00:00	16:50:11
109	Terminal :	10.80.15.220 	 Kullanıcı :00207 : 	 İşlem Tipi 0	25.05.2022 00:00:00	16:50:13
110	Terminal :	10.80.15.220 	 Kullanıcı :00317 : 	 İşlem Tipi 0	25.05.2022 00:00:00	16:50:17
111	Terminal :	10.80.15.220 	 Kullanıcı :00200 : 	 İşlem Tipi 0	25.05.2022 00:00:00	16:50:20
112	Terminal :	10.80.15.220 	 Kullanıcı :00151 : 	 İşlem Tipi 0	25.05.2022 00:00:00	16:50:25
113	Terminal :	10.80.15.220 	 Kullanıcı :00155 : 	 İşlem Tipi 0	25.05.2022 00:00:00	16:50:28
114	Terminal :	10.80.15.220 	 Kullanıcı :00155 : 	 İşlem Tipi 0	25.05.2022 00:00:00	16:50:34
115	Terminal :	10.80.15.220 	 Kullanıcı :00163 : 	 İşlem Tipi 0	25.05.2022 00:00:00	16:50:36
116	Terminal :	10.80.15.220 	 Kullanıcı :00384 : 	 İşlem Tipi 0	25.05.2022 00:00:00	16:50:43
117	Terminal :	10.80.15.220 	 Kullanıcı :00177 : 	 İşlem Tipi 0	25.05.2022 00:00:00	16:50:53
118	Terminal :	10.80.15.220 	 Kullanıcı :00183 : 	 İşlem Tipi 0	25.05.2022 00:00:00	16:50:56
119	Terminal :	10.80.15.220 	 Kullanıcı :00103 : 	 İşlem Tipi 0	25.05.2022 00:00:00	16:51:00
120	Terminal :	10.80.15.220 	 Kullanıcı :00223 : 	 İşlem Tipi 0	25.05.2022 00:00:00	16:51:06
121	Terminal :	10.80.15.220 	 Kullanıcı :00172 : 	 İşlem Tipi 0	25.05.2022 00:00:00	16:51:10
122	Terminal :	10.80.15.220 	 Kullanıcı :00076 : 	 İşlem Tipi 0	25.05.2022 00:00:00	16:51:26
123	Terminal :	10.80.15.220 	 Kullanıcı :00197 : 	 İşlem Tipi 0	25.05.2022 00:00:00	16:51:42
124	Terminal :	10.80.15.220 	 Kullanıcı :00203 : 	 İşlem Tipi 0	25.05.2022 00:00:00	16:51:43
125	Terminal :	10.80.15.220 	 Kullanıcı :00203 : 	 İşlem Tipi 0	25.05.2022 00:00:00	16:51:44
126	Terminal :	10.80.15.220 	 Kullanıcı :00079 : 	 İşlem Tipi 0	25.05.2022 00:00:00	16:51:47
127	Terminal :	10.80.15.220 	 Kullanıcı :00046 : 	 İşlem Tipi 0	25.05.2022 00:00:00	16:51:55
128	Terminal :	10.80.15.220 	 Kullanıcı :00068 : 	 İşlem Tipi 0	25.05.2022 00:00:00	16:52:06
129	Terminal :	10.80.15.220 	 Kullanıcı :00072 : 	 İşlem Tipi 0	25.05.2022 00:00:00	16:52:10
130	Terminal :	10.80.15.220 	 Kullanıcı :00038 : 	 İşlem Tipi 0	25.05.2022 00:00:00	16:52:14
131	Terminal :	10.80.15.220 	 Kullanıcı :00006 : 	 İşlem Tipi 0	25.05.2022 00:00:00	16:52:21
132	Terminal :	10.80.15.220 	 Kullanıcı :00159 : 	 İşlem Tipi 0	25.05.2022 00:00:00	16:52:44
133	Terminal :	10.80.15.220 	 Kullanıcı :00296 : 	 İşlem Tipi 0	25.05.2022 00:00:00	16:53:06
134	Terminal :	10.80.15.220 	 Kullanıcı :00174 : 	 İşlem Tipi 0	25.05.2022 00:00:00	16:53:27
135	Terminal :	10.80.15.220 	 Kullanıcı :00214 : 	 İşlem Tipi 0	25.05.2022 00:00:00	16:53:30
136	Terminal :	10.80.15.220 	 Kullanıcı :00178 : 	 İşlem Tipi 0	25.05.2022 00:00:00	16:53:33
137	Terminal :	10.80.15.220 	 Kullanıcı :00137 : 	 İşlem Tipi 0	25.05.2022 00:00:00	16:54:06
